Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version
ENSMPUG00000000585	ENSMPUG00000000585.1	ENSMPUT00000000591	ENSMPUT00000000591.1
ENSMPUG00000000870	ENSMPUG00000000870.1	ENSMPUT00000000882	ENSMPUT00000000882.1
ENSMPUG00000000870	ENSMPUG00000000870.1	ENSMPUT00000000882	ENSMPUT00000000882.1
ENSMPUG00000000896	ENSMPUG00000000896.1	ENSMPUT00000000908	ENSMPUT00000000908.1
ENSMPUG00000001670	ENSMPUG00000001670.1	ENSMPUT00000001688	ENSMPUT00000001688.1
ENSMPUG00000001995	ENSMPUG00000001995.1	ENSMPUT00000002017	ENSMPUT00000002017.1
ENSMPUG00000002226	ENSMPUG00000002226.1	ENSMPUT00000002248	ENSMPUT00000002248.1
ENSMPUG00000002444	ENSMPUG00000002444.1	ENSMPUT00000002467	ENSMPUT00000002467.1
ENSMPUG00000002982	ENSMPUG00000002982.1	ENSMPUT00000003013	ENSMPUT00000003013.1
ENSMPUG00000003329	ENSMPUG00000003329.1	ENSMPUT00000003362	ENSMPUT00000003362.1
ENSMPUG00000003329	ENSMPUG00000003329.1	ENSMPUT00000003362	ENSMPUT00000003362.1
ENSMPUG00000003649	ENSMPUG00000003649.1	ENSMPUT00000003687	ENSMPUT00000003687.1
ENSMPUG00000003877	ENSMPUG00000003877.1	ENSMPUT00000003916	ENSMPUT00000003916.1
ENSMPUG00000004812	ENSMPUG00000004812.1	ENSMPUT00000004856	ENSMPUT00000004856.1
ENSMPUG00000005160	ENSMPUG00000005160.1	ENSMPUT00000005209	ENSMPUT00000005209.1
ENSMPUG00000005336	ENSMPUG00000005336.1	ENSMPUT00000005386	ENSMPUT00000005386.1
ENSMPUG00000006985	ENSMPUG00000006985.1	ENSMPUT00000007044	ENSMPUT00000007044.1
ENSMPUG00000008820	ENSMPUG00000008820.1	ENSMPUT00000008893	ENSMPUT00000008893.1
ENSMPUG00000010064	ENSMPUG00000010064.1	ENSMPUT00000010149	ENSMPUT00000010149.1
ENSMPUG00000010381	ENSMPUG00000010381.1	ENSMPUT00000010471	ENSMPUT00000010471.1
ENSMPUG00000010741	ENSMPUG00000010741.1	ENSMPUT00000010832	ENSMPUT00000010832.1
ENSMPUG00000010793	ENSMPUG00000010793.1	ENSMPUT00000010884	ENSMPUT00000010884.1
ENSMPUG00000011159	ENSMPUG00000011159.1	ENSMPUT00000011253	ENSMPUT00000011253.1
ENSMPUG00000011856	ENSMPUG00000011856.1	ENSMPUT00000011956	ENSMPUT00000011956.1
ENSMPUG00000011856	ENSMPUG00000011856.1	ENSMPUT00000011956	ENSMPUT00000011956.1
ENSMPUG00000012611	ENSMPUG00000012611.1	ENSMPUT00000012719	ENSMPUT00000012719.1
ENSMPUG00000013673	ENSMPUG00000013673.1	ENSMPUT00000013787	ENSMPUT00000013787.1
ENSMPUG00000013726	ENSMPUG00000013726.1	ENSMPUT00000013840	ENSMPUT00000013840.1
ENSMPUG00000013726	ENSMPUG00000013726.1	ENSMPUT00000013840	ENSMPUT00000013840.1
ENSMPUG00000014041	ENSMPUG00000014041.1	ENSMPUT00000014156	ENSMPUT00000014156.1
ENSMPUG00000014426	ENSMPUG00000014426.1	ENSMPUT00000014547	ENSMPUT00000014547.1
ENSMPUG00000015155	ENSMPUG00000015155.1	ENSMPUT00000015283	ENSMPUT00000015283.1
ENSMPUG00000016516	ENSMPUG00000016516.1	ENSMPUT00000016658	ENSMPUT00000016658.1
ENSMPUG00000016516	ENSMPUG00000016516.1	ENSMPUT00000016658	ENSMPUT00000016658.1
ENSMPUG00000016972	ENSMPUG00000016972.1	ENSMPUT00000017117	ENSMPUT00000017117.1
ENSMPUG00000017818	ENSMPUG00000017818.1	ENSMPUT00000017967	ENSMPUT00000017967.1
ENSMPUG00000019376	ENSMPUG00000019376.1	ENSMPUT00000019528	ENSMPUT00000019528.1
ENSMPUG00000019376	ENSMPUG00000019376.1	ENSMPUT00000019528	ENSMPUT00000019528.1
ENSMPUG00000020133	ENSMPUG00000020133.1	ENSMPUT00000020285	ENSMPUT00000020285.1
