Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version
ENSMPUG00000000986	ENSMPUG00000000986.1	ENSMPUT00000000999	ENSMPUT00000000999.1
ENSMPUG00000001913	ENSMPUG00000001913.1	ENSMPUT00000001935	ENSMPUT00000001935.1
ENSMPUG00000001945	ENSMPUG00000001945.1	ENSMPUT00000001967	ENSMPUT00000001967.1
ENSMPUG00000001945	ENSMPUG00000001945.1	ENSMPUT00000001967	ENSMPUT00000001967.1
ENSMPUG00000002720	ENSMPUG00000002720.1	ENSMPUT00000002747	ENSMPUT00000002747.1
ENSMPUG00000002778	ENSMPUG00000002778.1	ENSMPUT00000002808	ENSMPUT00000002808.1
ENSMPUG00000002839	ENSMPUG00000002839.1	ENSMPUT00000002869	ENSMPUT00000002869.1
ENSMPUG00000002915	ENSMPUG00000002915.1	ENSMPUT00000002945	ENSMPUT00000002945.1
ENSMPUG00000002958	ENSMPUG00000002958.1	ENSMPUT00000002989	ENSMPUT00000002989.1
ENSMPUG00000002958	ENSMPUG00000002958.1	ENSMPUT00000002989	ENSMPUT00000002989.1
ENSMPUG00000003060	ENSMPUG00000003060.1	ENSMPUT00000003091	ENSMPUT00000003091.1
ENSMPUG00000003106	ENSMPUG00000003106.1	ENSMPUT00000003138	ENSMPUT00000003138.1
ENSMPUG00000003402	ENSMPUG00000003402.1	ENSMPUT00000003437	ENSMPUT00000003437.1
ENSMPUG00000003438	ENSMPUG00000003438.1	ENSMPUT00000003474	ENSMPUT00000003474.1
ENSMPUG00000003773	ENSMPUG00000003773.1	ENSMPUT00000003811	ENSMPUT00000003811.1
ENSMPUG00000004103	ENSMPUG00000004103.1	ENSMPUT00000004142	ENSMPUT00000004142.1
ENSMPUG00000004152	ENSMPUG00000004152.1	ENSMPUT00000004191	ENSMPUT00000004191.1
ENSMPUG00000004172	ENSMPUG00000004172.1	ENSMPUT00000004211	ENSMPUT00000004211.1
ENSMPUG00000004613	ENSMPUG00000004613.1	ENSMPUT00000004657	ENSMPUT00000004657.1
ENSMPUG00000004727	ENSMPUG00000004727.1	ENSMPUT00000004771	ENSMPUT00000004771.1
ENSMPUG00000004969	ENSMPUG00000004969.1	ENSMPUT00000005014	ENSMPUT00000005014.1
ENSMPUG00000005492	ENSMPUG00000005492.1	ENSMPUT00000005542	ENSMPUT00000005542.1
ENSMPUG00000005579	ENSMPUG00000005579.1	ENSMPUT00000005631	ENSMPUT00000005631.1
ENSMPUG00000005989	ENSMPUG00000005989.1	ENSMPUT00000006042	ENSMPUT00000006042.1
ENSMPUG00000006113	ENSMPUG00000006113.1	ENSMPUT00000006168	ENSMPUT00000006168.1
ENSMPUG00000006187	ENSMPUG00000006187.1	ENSMPUT00000006242	ENSMPUT00000006242.1
ENSMPUG00000006714	ENSMPUG00000006714.1	ENSMPUT00000006773	ENSMPUT00000006773.1
ENSMPUG00000007132	ENSMPUG00000007132.1	ENSMPUT00000007193	ENSMPUT00000007193.1
ENSMPUG00000007593	ENSMPUG00000007593.1	ENSMPUT00000007659	ENSMPUT00000007659.1
ENSMPUG00000008131	ENSMPUG00000008131.1	ENSMPUT00000008200	ENSMPUT00000008200.1
ENSMPUG00000008242	ENSMPUG00000008242.1	ENSMPUT00000008311	ENSMPUT00000008311.1
ENSMPUG00000008789	ENSMPUG00000008789.1	ENSMPUT00000008862	ENSMPUT00000008862.1
ENSMPUG00000009017	ENSMPUG00000009017.1	ENSMPUT00000009092	ENSMPUT00000009092.1
ENSMPUG00000009649	ENSMPUG00000009649.1	ENSMPUT00000009729	ENSMPUT00000009729.1
ENSMPUG00000010513	ENSMPUG00000010513.1	ENSMPUT00000010604	ENSMPUT00000010604.1
ENSMPUG00000011594	ENSMPUG00000011594.1	ENSMPUT00000011692	ENSMPUT00000011692.1
ENSMPUG00000011780	ENSMPUG00000011780.1	ENSMPUT00000011878	ENSMPUT00000011878.1
ENSMPUG00000011867	ENSMPUG00000011867.1	ENSMPUT00000011969	ENSMPUT00000011969.1
ENSMPUG00000012005	ENSMPUG00000012005.1	ENSMPUT00000012108	ENSMPUT00000012108.1
ENSMPUG00000012126	ENSMPUG00000012126.1	ENSMPUT00000012229	ENSMPUT00000012229.1
ENSMPUG00000012508	ENSMPUG00000012508.1	ENSMPUT00000012615	ENSMPUT00000012615.1
ENSMPUG00000013126	ENSMPUG00000013126.1	ENSMPUT00000013239	ENSMPUT00000013239.1
ENSMPUG00000013486	ENSMPUG00000013486.1	ENSMPUT00000013599	ENSMPUT00000013599.1
ENSMPUG00000013519	ENSMPUG00000013519.1	ENSMPUT00000013632	ENSMPUT00000013632.1
ENSMPUG00000014303	ENSMPUG00000014303.1	ENSMPUT00000014422	ENSMPUT00000014422.1
ENSMPUG00000014344	ENSMPUG00000014344.1	ENSMPUT00000014463	ENSMPUT00000014463.1
ENSMPUG00000014408	ENSMPUG00000014408.1	ENSMPUT00000014529	ENSMPUT00000014529.1
ENSMPUG00000014426	ENSMPUG00000014426.1	ENSMPUT00000014547	ENSMPUT00000014547.1
ENSMPUG00000014656	ENSMPUG00000014656.1	ENSMPUT00000014780	ENSMPUT00000014780.1
ENSMPUG00000014724	ENSMPUG00000014724.1	ENSMPUT00000014848	ENSMPUT00000014848.1
ENSMPUG00000014727	ENSMPUG00000014727.1	ENSMPUT00000014851	ENSMPUT00000014851.1
ENSMPUG00000015246	ENSMPUG00000015246.1	ENSMPUT00000015375	ENSMPUT00000015375.1
ENSMPUG00000015310	ENSMPUG00000015310.1	ENSMPUT00000015439	ENSMPUT00000015439.1
ENSMPUG00000015324	ENSMPUG00000015324.1	ENSMPUT00000015453	ENSMPUT00000015453.1
ENSMPUG00000015501	ENSMPUG00000015501.1	ENSMPUT00000015630	ENSMPUT00000015630.1
ENSMPUG00000015588	ENSMPUG00000015588.1	ENSMPUT00000015719	ENSMPUT00000015719.1
ENSMPUG00000015660	ENSMPUG00000015660.1	ENSMPUT00000015791	ENSMPUT00000015791.1
ENSMPUG00000015909	ENSMPUG00000015909.1	ENSMPUT00000016044	ENSMPUT00000016044.1
ENSMPUG00000016235	ENSMPUG00000016235.1	ENSMPUT00000016375	ENSMPUT00000016375.1
ENSMPUG00000016464	ENSMPUG00000016464.1	ENSMPUT00000016606	ENSMPUT00000016606.1
ENSMPUG00000016715	ENSMPUG00000016715.1	ENSMPUT00000016858	ENSMPUT00000016858.1
ENSMPUG00000016839	ENSMPUG00000016839.1	ENSMPUT00000016983	ENSMPUT00000016983.1
ENSMPUG00000016839	ENSMPUG00000016839.1	ENSMPUT00000016983	ENSMPUT00000016983.1
ENSMPUG00000016897	ENSMPUG00000016897.1	ENSMPUT00000017042	ENSMPUT00000017042.1
ENSMPUG00000017387	ENSMPUG00000017387.1	ENSMPUT00000017533	ENSMPUT00000017533.1
ENSMPUG00000017652	ENSMPUG00000017652.1	ENSMPUT00000017799	ENSMPUT00000017799.1
ENSMPUG00000018143	ENSMPUG00000018143.1	ENSMPUT00000018295	ENSMPUT00000018295.1
ENSMPUG00000018309	ENSMPUG00000018309.1	ENSMPUT00000018461	ENSMPUT00000018461.1
ENSMPUG00000018675	ENSMPUG00000018675.1	ENSMPUT00000018827	ENSMPUT00000018827.1
